AC021016.8	USP37
ADRM1	CCDC92
CCDC92	ADRM1
EPS8L1	ZNF865
ZNF865	EPS8L1
IMPA2	INPP4B
INPP4B	IMPA2
SNORD35B	FCGRT
USP49	IPO9
IPO9	USP49
TBC1D16	CCDC40
GAB1	PXN
PXN	GAB1
BACH2	FAM161A
FAM161A	BACH2
CLTCL1	WDR5B
WDR5B	CLTCL1
PKNOX1	VPS37C
VPS37C	PKNOX1
RP11-663N22.1	KSR1
TMEM51	SUSD3
SUSD3	TMEM51
CAPN3	DYSF
DYSF	CAPN3
COBLL1	RACGAP1
RACGAP1	COBLL1
CASP1	PARP1
ZNF19	VAC14
VAC14	ZNF19
RPL19	RPS6
RPS6	RPL19
TSSC4	CEP152
CEP152	TSSC4
EPHA8	PIK3CG
NT5E	CDA
MFSD1	IQCJ-SCHIP1
IQCJ-SCHIP1	MFSD1
ABCA1	NIPSNAP3A
POLR1C	PRPH2
PRPH2	POLR1C
ANAPC1	MERTK
FCGR2A	GATA3
GATA3	FCGR2A
SLC1A4	ERVW-1
ERVW-1	SLC1A4
DDX5	ZNF207
ZNF207	DDX5
CUL5	KDELC2
RP11-624M8.1	NCOA7
KCNS3	C1orf43
C1orf43	KCNS3
HSP90AA1	SIRT1
SIRT1	HSP90AA1
CAPZB	INADL
INADL	CAPZB
SEC16A	MAPRE1
MAPRE1	SEC16A
PKD2	SRPR
SRPR	PKD2
GLYAT	VOPP1
VOPP1	GLYAT
TF	SLX4
SLX4	TF
PFDN2	SEC16A
SEC16A	PFDN2
FRS3	BMPR2
PIBF1	KLF5
ANPEP	RP11-697E2.6
RP11-697E2.6	ANPEP
RAB3IL1	CHCHD3
CHCHD3	RAB3IL1
HES7	RP11-599B13.6
RP11-599B13.6	HES7
ATP13A4	ATP13A5
ATP13A5	ATP13A4
CSNK2A2	RELA
RELA	CSNK2A2
SUGP2	GATAD2A
GATAD2A	SUGP2
EML2	FBXO46
FBXO46	EML2
CASP4	DYNC2H1
DYNC2H1	CASP4
FRS2	LYZ
SMAD3	RBBP6
RBBP6	SMAD3
TRIM50	IQUB
IQUB	TRIM50
MKRN2	APOBEC3D
APOBEC3D	MKRN2
RFC2	POLA2
POLA2	RFC2
PWP2	USP36
USP36	PWP2
RPS16	SF3B3
SF3B3	RPS16
FGG	F13A1
CCNJL	FABP6
FABP6	CCNJL
PPP1R15A	ZNF512B
ZNF512B	PPP1R15A
PLXNA4	EXOC4
NDUFA8	NDUFB4
NDUFB4	NDUFA8
CD44	VANGL2
VANGL2	CD44
CREB1	IFT74
IFT74	CREB1
KDM4C	GLDC
ELAVL1	DIMT1
DIMT1	ELAVL1
ELAVL2	MOV10
MOV10	ELAVL2
TFCP2	SLC11A2
DNMT1	SUV39H2
SUV39H2	DNMT1
EFNA1	IL6R
KTN1-AS1	KTN1
A2M	UFD1L
MYO5A	MYO1C
SUMO3	DDX19B
DDX19B	SUMO3
MRPL46	MRPL47
MRPL47	MRPL46
CDKN2B-AS1	GAA
ITGAL	ITGB2
ITGB2	ITGAL
HSF2	SDR9C7
SDR9C7	HSF2
PIK3C2A	NUCB2
FTH1	GOLM1
RAF1	DMPK
SRSF6	CPSF6
CPSF6	SRSF6
NFRKB	BCL7C
BCL7C	NFRKB
UBE2C	PCIF1
PCIF1	UBE2C
PTCH1	SEMA6A
SEMA6A	PTCH1
GRIN2B	PTPRB
PTPRB	GRIN2B
CDKN2B-AS1	MARC2
MYO1H	UBE3B
EGFR	ZNF259
SH3RF1	NFKBID
NFKBID	SH3RF1
ECH1	MCC
MCC	ECH1
PERP	HEBP2
RP11-169K16.9	RP11-169K16.8
RP11-169K16.8	RP11-169K16.9
SOCS1	WSB1
WSB1	SOCS1
BYSL	L3MBTL3
L3MBTL3	BYSL
PLCL1	DGKE
DGKE	PLCL1
POLR2A	CTDSP1
CREB1	CCL5
CCL5	CREB1
DLAT	PDK2
PDK2	DLAT
DPYSL5	CIB4
CIB4	DPYSL5
ATP2B2	STEAP3
STEAP3	ATP2B2
RAB1A	KIAA1432
KIAA1432	RAB1A
SMAD9	AFF1
C1orf74	NOTCH1
NOTCH1	C1orf74
SKAP1	SNX11
EIF4A3	SNRNP200
SNRNP200	EIF4A3
PABPC3	SF3B3
SF3B3	PABPC3
CHD3	RAD51
RAD51	CHD3
TMEM63A	GPRC5C
GPRC5C	TMEM63A
BCL3	FOS
ATXN1	COIL
RPL17	RRBP1
RRBP1	RPL17
AP3S1	TMEM63A
TMEM63A	AP3S1
COPA	PCBP2
PCBP2	COPA
PIBF1	KANK2
KANK2	PIBF1
CREB1	SMARCA5
CCDC110	SORBS2
SORBS2	CCDC110
ADCY9	SLC20A1
SLC20A1	ADCY9
TNFRSF1B	KRT18
PPP2R2B	VIM
VIM	PPP2R2B
SYT1	EIF2B5
EIF2B5	SYT1
EXT2	ATE1
ATE1	EXT2
MAP2K5	CCDC40
CCDC40	MAP2K5
MYH1	SMARCA5
SMARCA5	MYH1
MRPL3	MRPS9
MRPS9	MRPL3
DPP9	STOX1
STOX1	DPP9
PRKD1	TFAP2A
TFAP2A	PRKD1
MSANTD4	PDGFD
PDGFD	MSANTD4
RABGAP1L	PXDC1
PXDC1	RABGAP1L
MEOX2	ZFP42
ZFP42	MEOX2
EPHB3	GPR114
GPR114	EPHB3
MEOX2	TTC9C
ZNF862	LRRC61
LRRC61	ZNF862
RPS9	EIF3B
EIF3B	RPS9
SCAF11	TUBGCP4
TUBGCP4	SCAF11
HSP90AA1	NR3C2
ADRB2	UBC
UBC	ADRB2
CAMK2B	MEOX2
MEOX2	CAMK2B
FBXL4	DSG4
DSG4	FBXL4
RNF6	UBE2H
UBE2H	RNF6
COG4	CCDC40
CCDC40	COG4
RUNX3	SMAD1
SMAD1	RUNX3
VEPH1	SMAD1
UBE2H	DNM1L
DNM1L	UBE2H
IL23A	STAT2
HDGF	CPNE2
CPNE2	HDGF
CNR2	GNA15
TP53	E2F1
COL8A1	RGS20
RGS20	COL8A1
CIRBP	PUF60
PUF60	CIRBP
RPL3	RPL31
RPL31	RPL3
ODC1	KAT5
KAT5	ODC1
NFKBIA	ANKRD27
ANKRD27	NFKBIA
EGFR	ELF3
TRAF3	TDP2
TDP2	TRAF3
MRPL10	ZNF830
ZNF830	MRPL10
NT5E	USP36
USP36	NT5E
GJA1	GRB2
GRB2	GJA1
MAP2K5	MICAL3
MICAL3	MAP2K5
BPTF	DYNC1LI1
DYNC1LI1	BPTF
ETS1	TDP2
KRT34	CDC20B
CDC20B	KRT34
TNIK	SF3B14
SF3B14	TNIK
ZNF264	STRN4
STRN4	ZNF264
AURKA	USP47
USP47	AURKA
LGALS9	SLC12A2
SLC12A2	LGALS9
BANP	ZC3H18
ZC3H18	BANP
RAB2A	DOCK6
DOCK6	RAB2A
SRC	FHIT
C14orf1	POLE2
KCNMB4	TSPAN8
TSPAN8	KCNMB4
CTD-2047H16.4	GAA
PRKCA	VASP
VASP	PRKCA
RP11-17A4.2	RP11-513O17.2
RP11-513O17.2	RP11-17A4.2
NPHP3-AS1	TMEM108
RBX1	COPS7A
COPS7A	RBX1
RPP38	RPP14
RPP14	RPP38
BRE	TNKS2
TNKS2	BRE
LASP1	LMO4
LMO4	LASP1
EEF2	PIAS1
PIAS1	EEF2
RP11-134G8.7	NAV1
PRG3	IL17RA
IL17RA	PRG3
PDHB	IKBKE
IKBKE	PDHB
PLEKHA5	MYH14
MYH14	PLEKHA5
FGFR1	TPCN2
TPCN2	FGFR1
HOTAIR	NARS2
CLINT1	MYO18A
MYO18A	CLINT1
RPL23A	TOP1
TOP1	RPL23A
RTEL1-TNFRSF6B	ARFRP1
ARFRP1	RTEL1-TNFRSF6B
RCC2	NEDD1
NEDD1	RCC2
MITF	OTX2
OTX2	MITF
CNKSR1	SMAD4
GOPC	SLC35F1
SLC35F1	GOPC
FAM180A	CHRM2
CHRM2	FAM180A
CD44	VAV2
ANGPTL6	C19orf66
ELAVL1	SDCBP
SDCBP	ELAVL1
MEGF11	RPL4
PPP1CB	MYO5C
MYO5C	PPP1CB
IGFBP3	PAPPA2
LTK	RTF1
RTF1	LTK
MKRN2	ZC3H18
ZC3H18	MKRN2
ELF3	GARS
GARS	ELF3
RP11-404P21.3	RP11-404P21.8
ANK1	TIAM1
FOXA3	ALX4
ALX4	FOXA3
SERPINA1	DDX31
DDX31	SERPINA1
IST1	TFG
TFG	IST1
JAK2	STAM
STAM	JAK2
SPON1	FAR1
ARRB1	BRPF1
BRPF1	ARRB1
MYO5B	RAB11A
PDLIM1	FBXO31
FBXO31	PDLIM1
WEE1	SMAD4
TENC1	C19orf66
C19orf66	TENC1
MRPL41	TRIM63
TRIM63	MRPL41
PTPN1	IRS1
DPYSL2	NUFIP1
NUFIP1	DPYSL2
ACTN4	WNK1
WNK1	ACTN4
DAZAP2	CEP70
EXOC4	MYC
ZNF19	HYDIN
HYDIN	ZNF19
LSM3	NACC1
NACC1	LSM3
INTS10	INTS3
INTS3	INTS10
RP11-110H1.8	MYO5B
MEOX2	TCEA2
TCEA2	MEOX2
AP000662.4	SSRP1
CTD-2562J15.6	TPM4
TRIB2	DET1
DET1	TRIB2
SETD5	LHFPL4
LHFPL4	SETD5
EVL	ENAH
ENAH	EVL
CDKN2C	RBM48
RBM48	CDKN2C
FUT1	GOLIM4
GOLIM4	FUT1
BUB3	CDC27
BANP	LRIF1
LRIF1	BANP
TRIM37	KAT5
KAT5	TRIM37
DAZAP2	POU6F1
GSTM1	MAP3K5
MAP3K5	GSTM1
CALCR	CALM3
CALM3	CALCR
EGFR	PIK3R2
MAPKAPK5	RP11-162P23.2
RP11-162P23.2	MAPKAPK5
RPUSD4	CHMP4B
CHMP4B	RPUSD4
DLX4	PLCG1
PLCG1	DLX4
RP4-583P15.15	UCKL1
UCKL1	RP4-583P15.15
MAPK6	ZNF133
OPRL1	ZBTB46
ZBTB46	OPRL1
CDKN2B-AS1	VANGL2
SOD2	RIPK2
RIPK2	SOD2
LTBP4	ZNF707
ZNF707	LTBP4
GOPC	VIM
NUP153	KIF13A
KIF13A	NUP153
PLAA	LYPD3
LYPD3	PLAA
RPL18	SYNE1
SYNE1	RPL18
CLTCL1	LIMA1
LIMA1	CLTCL1
RP11-96D1.6	PLA2G15
NEFM	PLEC
PLEC	NEFM
CD9	ITGA6
ITGA6	CD9
DMWD	WDFY3
WDFY3	DMWD
PARK2	HEXDC
RP11-156P1.3	MYL4
APC	SAV1
SAV1	APC
MBD2	RASA3
RASA3	MBD2
PPP2R2B	NUFIP2
NUFIP2	PPP2R2B
NR3C2	ARHGAP21
ARHGAP21	NR3C2
MAP2K4	TRIB1
TRIB1	MAP2K4
SP4	NRF1
NPPA	UBQLN4
CCT3	TTLL3
TTLL3	CCT3
GALNS	P2RX5
P2RX5	GALNS
PIK3R2	YWHAB
COL4A4	HABP2
HABP2	COL4A4
MTMR4	MRPL38
MRPL38	MTMR4
HOTAIR	SGCZ
AP2A2	ATM
ATM	AP2A2
CAV1	MBOAT1
MBOAT1	CAV1
ANAPC5	CDT1
CDT1	ANAPC5
CASD1	PON2
PON2	CASD1
FADS3	FNDC3A
FNDC3A	FADS3
BZW1	SPATS2L
SPATS2L	BZW1
RAD50	SIDT2
SIDT2	RAD50
SLC27A2	ARMC6
ARMC6	SLC27A2
PTPN1	GSK3B
HOXB2	UBASH3B
UBASH3B	HOXB2
ATG9A	KPRP
KPRP	ATG9A
TFDP1	F7
F7	TFDP1
HSPA8	SCAF8
SCAF8	HSPA8
RPL4	CCDC9
CCDC9	RPL4
GTPBP4	H2AFY2
H2AFY2	GTPBP4
CIC	TRIM22
PTK2	PPP1CB
DPP9	KDM4B
KDM4B	DPP9
MRPS6	MRPL10
MRPL10	MRPS6
EPHB3	MAGEF1
BMPR2	TOPBP1
LAMTOR2	GBAP1
PARP1	SENP3
SENP3	PARP1
DLG4	FXR2
FXR2	DLG4
TRPC4	UFM1
ZNF787	EPN1
EPN1	ZNF787
CALCA	NRD1
CDH5	JUP
CRK	SOS2
SOS2	CRK
STX11	FAM161A
FAM161A	STX11
PEX14	C1orf127
C1orf127	PEX14
PDGFB	ZC3H4
ZC3H4	PDGFB
RP11-111A22.1	DLL4
CCT2	TUBA3E
TUBA3E	CCT2
GTSF1L	MYBL2
KIF2B	KLC4
KLC4	KIF2B
WDR12	FAM117B
KLHDC2	UBXN7
UBXN7	KLHDC2
DYRK1B	TROAP
TROAP	DYRK1B
TPD52L2	WNK1
WNK1	TPD52L2
ZNF625-ZNF20	CTC-398G3.6
CTC-398G3.6	ZNF625-ZNF20
NR4A1	HSPH1
HSPH1	NR4A1
CCL4	SLC30A2
SLC30A2	CCL4
NOP58	FAM117B
SKP2	DISC1
DISC1	SKP2
USP37	PRKAG3
PRKAG3	USP37
GPS1	CARD11
CARD11	GPS1
CAPZA2	SEC16A
SEC16A	CAPZA2
RP11-298J20.4	LHPP
RPS3A	DDX20
DDX20	RPS3A
VIM	PKN1
CSF1R	CBL
CLCN2	ZCCHC10
ZCCHC10	CLCN2
APOBEC3D	RPL3
RPL3	APOBEC3D
LCMT2	CTNNBL1
CTNNBL1	LCMT2
ILF3	RPL23A
RPL23A	ILF3
EXO1	KLC3
KLC3	EXO1
CTD-2130O13.1	IER3IP1
HSD17B7	UGT2B4
CCT6B	WDR5B
WDR5B	CCT6B
ABI2	FBXL19
FBXL19	ABI2
MRPL3	MRPS6
MRPS6	MRPL3
BNIP3L	LMNA
LMNA	BNIP3L
MLF1	WNK1
WNK1	MLF1
RCBTB2	FARS2
FARS2	RCBTB2
ANKRD13D	ADRBK1
ADRBK1	ANKRD13D
TFEC	LPAR3
LPAR3	TFEC
SYK	TUBA4A
PEX19	FAR2
FAR2	PEX19
CD81	GPR56
GPR56	CD81
TARBP1	CHMP4B
CHMP4B	TARBP1
UBXN7	TFRC
TFRC	UBXN7
RANBP10	MEGF10
SETD1B	RHOF
TRIB1	PECR
PECR	TRIB1
CEBPA	XRCC5
XRCC5	CEBPA
SDR16C5	CHCHD7
LINC00598	NT5DC4
EHHADH	KCTD6
KCTD6	EHHADH
SYNCRIP	NEDD1
NEDD1	SYNCRIP
ZNF133	OVOL2
OVOL2	ZNF133
RPS6	SRP14
SRP14	RPS6
CCND3	C6orf132
C6orf132	CCND3
CSNK1A1	BACE1
BACE1	CSNK1A1
GTF2B	SNRPB2
SNRPB2	GTF2B
DUSP10	MAPK10
AC018359.1	ARPP21
CD70	MAP2K2
MAP2K2	CD70
NFKBIA	RPS3
RPS3	NFKBIA
TOM1L1	MANSC1
MANSC1	TOM1L1
NOS3	PI4K2A
PI4K2A	NOS3
ASGR2	PRKCA
PRKCA	ASGR2
FANCL	VRK2
PTGES3	SMYD2
SMYD2	PTGES3
CCNE1	CCT2
CCT2	CCNE1
RPL18	SYNCRIP
SYNCRIP	RPL18
TOMM34	MEPE
MEPE	TOMM34
PVT1	MTOR
FBLN2	PRELP
PRELP	FBLN2
AURKB	SUGT1
SUGT1	AURKB
RP11-284F21.8	MEF2D
NTRK1	MAPK3
MEIS2	PBX4
PBX4	MEIS2
ALK	VASP
VASP	ALK
KTN1	DDX27
DDX27	KTN1
PIAS1	ELK3
MYH10	MYO5B
MYO5B	MYH10
PRKDC	TNFRSF1B
TNFRSF1B	PRKDC
APOLD1	GPR19
PRKAR1B	RARG
RARG	PRKAR1B
APLNR	SLC25A46
SLC25A46	APLNR
EHHADH	BOLL
BOLL	EHHADH
NR4A1	ERC1
ERC1	NR4A1
TUBGCP3	XRN2
XRN2	TUBGCP3
MYC	MYBBP1A
MYBBP1A	MYC
RNASEH2A	PSRC1
PSRC1	RNASEH2A
ACADSB	PRDX2
PRDX2	ACADSB
CEBPA	SMAD3
SMAD3	CEBPA
PTPRK	ITGA8
ITGA8	PTPRK
MAPK6	MAP3K7
STK36	ARMC6
ARMC6	STK36
RELA	GTF2B
DCTN2	MAPK6
LRP1	MMP9
MMP9	LRP1
CBL	LYN
LYN	CBL
ZNF713	SUMF2
HHAT	IRF6
PLRG1	DNAJC8
DNAJC8	PLRG1
AMZ2	IL17RC
IL17RC	AMZ2
APBB1	THBS3
THBS3	APBB1
TBC1D4	NFAT5
CDKN1B	ELAVL1
ELAVL1	CDKN1B
TRIML2	BLOC1S2
BLOC1S2	TRIML2
SLC29A1	SLC39A12
SLC39A12	SLC29A1
FLNB	SORBS2
SORBS2	FLNB
TUBB4A	CCNJL
CCNJL	TUBB4A
CLCN6	MTHFR
SLC25A15	ARMC6
ARMC6	SLC25A15
SLC2A3	FOXJ2
FOXJ2	SLC2A3
ACSL1	OLAH
OLAH	ACSL1
SRC	TGM2
TGM2	SRC
CAMK2B	ATP2A2
PCSK7	HNRNPD
LRRC4C	SLC39A11
SLC39A11	LRRC4C
RPL4	RNF149
RNF149	RPL4
METAP2	NDUFA12
NDUFA12	METAP2
NSF	RBKS
RBKS	NSF
CRK	DLX4
DLX4	CRK
SNRPB2	DDX20
DDX20	SNRPB2
ALDH2	IGSF21
CRK	PAX7
PAX7	CRK
SRCAP	ORAI3
ORAI3	SRCAP
RELA	RXRA
MAP3K1	MYH10
MYH10	MAP3K1
NME1-NME2	NME1
TCEA1	SLC38A7
SLC38A7	TCEA1
CCNA1	MYBL2
RP11-12J10.3	FAM53B
FAM53B	RP11-12J10.3
PPP1CA	VDR
CD28	PIK3CG
PNLIPRP1	LPL
FNDC3B	GAS2L3
GAS2L3	FNDC3B
CCNT1	MYBL2
MYBL2	CCNT1
PPP2R1A	HSF2
ACTN2	KCNN2
KCNN2	ACTN2
IGFBP5	SLC38A1
SLC38A1	IGFBP5
PLSCR1	PRR13
PRR13	PLSCR1
INTS12	GSTCD
CBLB	SORBS2
SORBS2	CBLB
RP11-58E21.3	KLHDC1
TMOD3	SSH2
SSH2	TMOD3
RPL38	DICER1
DICER1	RPL38
LETMD1	SLC4A8
SLC4A8	LETMD1
SMAD9	SPG20
SPG20	SMAD9
SMG8	DOCK5
DOCK5	SMG8
TSSC4	SYF2
SYF2	TSSC4
KCNIP2	ANKRD13A
ANKRD13A	KCNIP2
FAM208A	RTF1
RTF1	FAM208A
CDH1	EGFR
EGFR	CDH1
TMBIM6	ATG9A
ATG9A	TMBIM6
HOXB7	PRKDC
PRKDC	HOXB7
GRB2	RPL4
RPL4	GRB2
RPL23A	SF3B14
SF3B14	RPL23A
LRRC37B	ADAP2
ADAP2	LRRC37B
HOXB3	HMGB1
ECT2	TMEM212
TMEM212	ECT2
LRPPRC	IQGAP2
IQGAP2	LRPPRC
CRNDE	PIK3CB
CDPF1	FBLN1
FBLN1	CDPF1
CNTF	IL6ST
SERPING1	P2RX3
P2RX3	SERPING1
ARRB2	INF2
INF2	ARRB2
KRT31	TFAP2D
TFAP2D	KRT31
COL8A1	UBQLN4
CRMP1	UBA5
UBA5	CRMP1
KLF14	MEST
SCG2	IQCJ-SCHIP1
IQCJ-SCHIP1	SCG2
SCARNA17	ACAA2
NUBP1	CIITA
CIITA	NUBP1
FBXL2	CRTAP
CRTAP	FBXL2
ACADS	AUH
AUH	ACADS
TRIM28	ZNF707
ZNF707	TRIM28
MARK4	PRKCI
IRAK2	IL17RE
IL17RE	IRAK2
ATP2B2	CYP2B6
CYP2B6	ATP2B2
XAF1	HIPK2
HIPK2	XAF1
BCL3	REL
REL	BCL3
NRXN3	MLLT4
DEFA6	ZFPM1
ZFPM1	DEFA6
RPL38	EIF2B4
EIF2B4	RPL38
DNAH2	GUCY2D
GUCY2D	DNAH2
SMAD3	CDH1
POU1F1	NR1I3
CRP	PTPRS
PTPRS	CRP
ARRB2	YWHAB
YWHAB	ARRB2
SLC1A5	ALG5
ALG5	SLC1A5
DDX46	SPEN
SPEN	DDX46
EIF4A3	PHF5A
PHF5A	EIF4A3
MEGF11	DIS3L
ANO3	BBOX1
BBOX1	ANO3
MEOX2	LCE1E
LCE1E	MEOX2
PPP2R1A	PPFIA2
PPFIA2	PPP2R1A
MIA3	TAF1A
AP1G1	RABEP2
RABEP2	AP1G1
MYH7	CLINT1
CLINT1	MYH7
CFTR	LGALS3
LGALS3	CFTR
EFNA1	SUMO2
BAD	GPR137
GPR137	BAD
SLC25A4	EIF2B4
EIF2B4	SLC25A4
CTD-2541M15.1	MCPH1
ANKRD30BL	NCKAP5
NCKAP5	ANKRD30BL
RAF1	RB1
MAP4K5	PPM1G
PPM1G	MAP4K5
RP1-159A19.4	SYTL1
RNF139	TMEM65
TMEM65	RNF139
DET1	RFWD2
RFWD2	DET1
RPS3	WDR18
WDR18	RPS3
TTLL4	CTDSP1
CTDSP1	TTLL4
CTBP2	LMO4
LMO4	CTBP2
PRPF4B	MED19
MED19	PRPF4B
RHOT1	TRAK2
TRAK2	RHOT1
MRPS11	FBF1
FBF1	MRPS11
LAMA1	FBLN2
CD48	LY9
LY9	CD48
POLR2E	POLR3H
POLR3H	POLR2E
TFG	C14orf1
PRKD1	ADAP1
CYP2C8	MAST1
MAST1	CYP2C8
SDCBP	THG1L
THG1L	SDCBP
BCL6	ATF7
ATF7	BCL6
PLRG1	SNRPB2
SNRPB2	PLRG1
CLTCL1	SNX5
Y_RNA	EML4
DDX56	PGAM2
PGAM2	DDX56
AQP1	RGS20
RGS20	AQP1
FOSB	VASP
VASP	FOSB
RPS27	TARBP2
TARBP2	RPS27
ANAPC13	COPS4
COPS4	ANAPC13
MRPL14	MRPL24
MRPL24	MRPL14
EIF4A1	EIF4A3
EIF4A3	EIF4A1
DMBT1	CDK5RAP3
CDK5RAP3	DMBT1
UBXN4	LCT
LCT	UBXN4
YY1	LHX3
LHX3	YY1
CARNS1	ANKRD13D
FAM110D	TRIM63
TRIM63	FAM110D
IGF2BP1	TBL1XR1
TBL1XR1	IGF2BP1
GPR160	SLC7A14
SLC7A14	GPR160
ING3	PLSCR4
PLSCR4	ING3
FAM117B	AC064836.3
AC064836.3	FAM117B
BCL2	MAPK6
MAPK6	BCL2
RELA	ARHGAP21
SPATA25	DNTTIP1
PPP1R16B	CDCA7L
CDCA7L	PPP1R16B
CTDNEP1	PLXDC2
PLXDC2	CTDNEP1
PLEKHA4	MAMSTR
MAMSTR	PLEKHA4
SP1	PTHLH
ZNF775	ZAK
MCM4	RPL18
RPL18	MCM4
ILF3	POLR1C
POLR1C	ILF3
ERP29	GLB1L
GLB1L	ERP29
MCUR1	CD83
CD83	MCUR1
AC008984.2	EPS8L1
YWHAB	YWHAE
DACT3-AS1	AC011551.3
PNLIPRP3	ATRNL1
ATRNL1	PNLIPRP3
DICER1	TBL2
TBL2	DICER1
MYBL2	RBL1
RBL1	MYBL2
GSK3B	MYCN
MYCN	GSK3B
RP11-298I3.4	SLC7A7
MRPS23	MRPS9
MRPS9	MRPS23
USP2	PIBF1
PIBF1	USP2
STMN3	RTEL1
PRMT1	COIL
COX15	SLC22A5
SLC22A5	COX15
FGL1	CWF19L2
CWF19L2	FGL1
RP11-500M8.7	GALNT8
GALNT8	RP11-500M8.7
RHPN2	SLC7A10
SLC7A10	RHPN2
MCC	YTHDC2
FRS3	KPRP
KPRP	FRS3
MYC	WEE1
WEE1	MYC
MYOCD	MAMSTR
MAMSTR	MYOCD
ACADS	ACAD11
ACAD11	ACADS
PRDM5	TNIP3
TNIP3	PRDM5
SF3B3	LSM4
LSM4	SF3B3
ITGB4	RECQL5
CBX5	LRCH3
LRCH3	CBX5
SMAD2	DPP10
DPP10	SMAD2
DACH1	U2AF2
U2AF2	DACH1
TNFRSF1B	HAX1
HAX1	TNFRSF1B
ILF3	HNRNPUL1
HNRNPUL1	ILF3
MEOX2	TRIP10
TRIP10	MEOX2
PEX19	BCL2L11
BCL2L11	PEX19
MTHFR	NAA38
NAA38	MTHFR
ATP12A	SUSD4
SUSD4	ATP12A
NMNAT3	CLSTN2
GCLC	TYW3
TYW3	GCLC
EHD4	SPTBN5
GFOD1	RALGAPA2
RALGAPA2	GFOD1
RP11-2C24.4	SRCAP
KRT8	DNAJB6
DNAJB6	KRT8
TSSC4	EAPP
EAPP	TSSC4
NOL4	CTBP2
DIO3OS	WDR25
TULP2	TSSC4
TSSC4	TULP2
ECT2	R3HDM1
R3HDM1	ECT2
UBC	ZAP70
ZAP70	UBC
CLIP1	CLASP2
CLASP2	CLIP1
CSNK2A2	ESR1
ESR1	CSNK2A2
PPM1G	SRSF6
SRSF6	PPM1G
MAP3K7	SMAD7
KIF2A	PRKCB
PRKCB	KIF2A
NCOR2	HEY2
HEY2	NCOR2
YWHAE	SAMD4A
SAMD4A	YWHAE
PPM1B	HIP1R
HIP1R	PPM1B
SMURF2	SPG20
GADD45B	CELF5
CELF5	GADD45B
SMAD4	SMAD6
SMAD6	SMAD4
SYK	PTK2
CLEC11A	SUGP2
SUGP2	CLEC11A
ZNF432	DCDC2
DCDC2	ZNF432
PTPN11	CTLA4
RPL31	SUMO3
SUMO3	RPL31
EIF2D	FCAMR
FCAMR	EIF2D
SMAD6	SMURF2
SMURF2	SMAD6
GTF2E1	SMARCD3
SMARCD3	GTF2E1
RPF1	CEP78
CEP78	RPF1
B2M	FCGRT
RPL38	RPS11
RPS11	RPL38
EPS15	ITSN1
HSP90AA1	SAP30
SAP30	HSP90AA1
FHL2	CCDC92
CCDC92	FHL2
CERK	MRAP2
MRAP2	CERK
GUCY1A3	GUCY1B3
GUCY1B3	GUCY1A3
CLK2	ZC3H18
ZC3H18	CLK2
A2M	GRB2
GRB2	A2M
MEOX2	TTC39B
TTC39B	MEOX2
PSMD5	PSMD7
PSMD7	PSMD5
ACTA2	MUC1
MUC1	ACTA2
PSMD7	USP15
USP15	PSMD7
MRPL4	DDX28
DDX28	MRPL4
RAP1B	RASSF5
RASSF5	RAP1B
COPA	SYNE1
SYNE1	COPA
PPP2CA	WDR86
WDR86	PPP2CA
PLSCR1	ZNF587
ZNF587	PLSCR1
TNNI3	AKAP1
AKAP1	TNNI3
FBXW7	EPOR
EPOR	FBXW7
UBC	COMMD3-BMI1
COMMD3-BMI1	UBC
SMAD3	SP1
SP1	SMAD3
HOXB5	NUP155
NUP155	HOXB5
SRSF4	EIF4A3
EIF4A3	SRSF4
PROX1	RPS6KC1
RPS6KC1	PROX1
CLK1	SYMPK
SYMPK	CLK1
RP11-230B22.1	DOCK7
ALDH9A1	ALDOC
ALDOC	ALDH9A1
REL	GLG1
MYO1E	PPP1CB
PPP1CB	MYO1E
SP4	MCRS1
MCRS1	SP4
LAT	GAB2
SNRPG	CWF19L2
CWF19L2	SNRPG
RGS12	PLCB1
RELA	PAPOLA
PAPOLA	RELA
GRB2	PIK3R2
UQCRFS1	COX6B2
COX6B2	UQCRFS1
UBN2	MEF2B
MEF2B	UBN2
DNMT3B	HDAC2
HDAC2	DNMT3B
GRB7	KCTD6
KCTD6	GRB7
SDHD	SUCLA2
SUCLA2	SDHD
PPP2R3A	TROAP
TROAP	PPP2R3A
ARRB1	ACTBL2
ACTBL2	ARRB1
SFN	RACGAP1
RACGAP1	SFN
ENAH	SPTA1
KAT5	IKZF3
IKZF3	KAT5
AGPAT3	TRPM2
ADRA2B	FER1L5
FER1L5	ADRA2B
CDO1	GAD2
SF1	NCBP2
NCBP2	SF1
CAPZA2	CHMP4B
CHMP4B	CAPZA2
GTF2B	RPAP1
RPAP1	GTF2B
RPL15	RPS6
RPS6	RPL15
HNRNPUL1	ADCK4
ADCK4	HNRNPUL1
RELB	TNIP2
TNIP2	RELB
KPNA2	SERTAD3
SERTAD3	KPNA2
PAX8	SAE1
SAE1	PAX8
CTNND1	SUMO2
SUMO2	CTNND1
HBS1L	AHI1
AHI1	HBS1L
FAM89A	CAPN9
CAPN9	FAM89A
BMPR2	RAPH1
RAPH1	BMPR2
FLI1	ETS1
ETS1	FLI1
FBN2	FAM19A3
FAM19A3	FBN2
KRT31	KRT79
KRT79	KRT31
SMAD3	AAGAB
