AC021016.8	USP37
CLINT1	PICALM
TMEM51	ITCH
ITCH	TMEM51
NPY	OSBPL3
OSBPL3	NPY
EZH2	SLC39A9
SLC39A9	EZH2
ABCA1	TIAM1
C2orf81	RTKN
RTKN	C2orf81
GATAD2B	L3MBTL2
L3MBTL2	GATAD2B
RPS13	CDC37
CDC37	RPS13
RP11-679C8.2	ANXA5
USHBP1	NWD1
NWD1	USHBP1
AC004549.6	HIBADH
AFAP1-AS1	BCL2L15
LRP8	GIPC1
GIPC1	LRP8
CROCC	UBR1
UBR1	CROCC
TEC	PTPN18
UBE2H	TRIM2
TRIM2	UBE2H
CLIC4	DNM1
ABLIM2	SH3TC1
SH3TC1	ABLIM2
FKBP5	ABHD15
ABHD15	FKBP5
RP11-632K5.3	RNF169
TGS1	NCOA6
CASP8	BCL2
WDR59	KIAA1683
KIAA1683	WDR59
IL1RAP	STAT3
AC114730.3	STK25
EPPK1	PPP1R16A
PPP1R16A	EPPK1
S100A13	SPRY2
SPRY2	S100A13
NOD2	RIPK2
GSK3B	CREM
REL	LRPPRC
LRPPRC	REL
PTRF	ATP6V0A1
ATP6V0A1	PTRF
CAPZA2	FCHO2
FCHO2	CAPZA2
PTEN	SRC
GATAD2A	CPNE5
CPNE5	GATAD2A
ECHS1	HADH
HADH	ECHS1
CTNNA1	PTPN14
PTPN14	CTNNA1
PHLDB2	MYO18A
MYO18A	PHLDB2
ANKS6	GABBR2
GABBR2	ANKS6
MCC	PNPT1
PNPT1	MCC
DLGAP4	UBASH3A
UBASH3A	DLGAP4
PSMD3	RPL38
RPL38	PSMD3
CDH13	HSD17B2
HSD17B2	CDH13
PXMP2	SLC38A1
SLC38A1	PXMP2
CDKN2B-AS1	KMT2C
IL7R	JAK1
CDC37	NUAK2
NUAK2	CDC37
FAM13B	MYOT
MYOT	FAM13B
IMPAD1	ENPP6
ENPP6	IMPAD1
SQSTM1	CD96
CD96	SQSTM1
SF3B4	DNAJC8
DNAJC8	SF3B4
PROP1	RAB3C
RAB3C	PROP1
H3F3A	SRC
SRC	H3F3A
PSMB3	YWHAZ
YWHAZ	PSMB3
CEP152	KCTD2
KCTD2	CEP152
CDKN2B-AS1	LEPR
RARA	AKT1
KRAS	TBL1XR1
TBL1XR1	KRAS
DCTN1	SLC4A5
USP4	ELMO1
ELMO1	USP4
PCDH9	TPCN2
TPCN2	PCDH9
YWHAZ	DCD
DCD	YWHAZ
MYH9	CDYL
CDYL	MYH9
SMAD3	RBX1
RBX1	SMAD3
HSP90AB1	RP11-444E17.6
RP11-444E17.6	HSP90AB1
TFAP4	SRL
SRL	TFAP4
IL10RA	JAK1
PRKCE	IRS1
LPP	WASF3
WASF3	LPP
STAT3	PTMA
MYO1C	SCAF8
SCAF8	MYO1C
UBE2N	SOCS2
SOCS2	UBE2N
IQGAP1	CLINT1
CLINT1	IQGAP1
RNF215	ASCC2
ASCC2	RNF215
LRCH4	MDFI
NUP50	KPNA3
FPR2	PIGN
PIGN	FPR2
TAOK2	MAPRE3
MAPRE3	TAOK2
GTF2I	SIN3B
SHC3	CKS2
RANBP10	CACHD1
DBN1	GNAS
GNAS	DBN1
PTPN23	CHMP4B
CHMP4B	PTPN23
SF3B2	LRRC59
LRRC59	SF3B2
ZMYND10	RASSF1
KRT8	PRKCE
PRKCE	KRT8
TNIK	PSAT1
PSAT1	TNIK
SMURF1	MYH16
MYH16	SMURF1
TM9SF4	ZNF800
ZNF800	TM9SF4
ALDH3A2	C1orf112
C1orf112	ALDH3A2
ATF3	FHL2
FHL2	ATF3
GRIN2B	PRKCD
PRKCD	GRIN2B
LRRC58	STXBP5L
STXBP5L	LRRC58
RTEL1-TNFRSF6B	RTEL1
RTEL1	RTEL1-TNFRSF6B
RGS19	MZT1
MZT1	RGS19
TSEN54	SLC16A5
SLC16A5	TSEN54
SCYL2	ANKS1B
ANKS1B	SCYL2
CCND1	TSC2
TSC2	CCND1
YWHAZ	BCAR1
RBM24	CAP2
CAP2	RBM24
TSGA10IP	CCDC88B
CCDC88B	TSGA10IP
PRKCD	FXR1
FXR1	PRKCD
OPRM1	TTI2
TTI2	OPRM1
EPB41L2	YWHAZ
YWHAZ	EPB41L2
IKZF1	AEN
KAT2A	MBIP
MBIP	KAT2A
PPP3CC	AC037459.4
AC037459.4	PPP3CC
FCER1G	FCGR3A
FCGR3A	FCER1G
CDH1	LRPPRC
LRPPRC	CDH1
RP11-15B17.1	PPP3CA
TNFRSF1B	VPS13D
VPS13D	TNFRSF1B
ZNF398	ZNF746
ZNF746	ZNF398
CREBBP	TRIP4
EIF4A2	TNPO1
TNPO1	EIF4A2
BLOC1S2	CWF19L1
TYRP1	ZNF431
ZNF431	TYRP1
PDE4B	ADCY10
ADCY10	PDE4B
PAOX	STK32C
STK32C	PAOX
FLNB	CORO2A
CORO2A	FLNB
NUAK2	SMAD2
DLG1	ATP2B4
PLCXD2	CD96
CD96	PLCXD2
SETDB1	INSL6
INSL6	SETDB1
SULT1A2	SULT1A1
TTC26	DGKI
DGKI	TTC26
SRRM5	PHLDB3
PHLDB3	SRRM5
MAPKBP1	MAPK8
CREBBP	POU2F3
RP1-50J22.4	MAPK13
TJP1	MPHOSPH9
MPHOSPH9	TJP1
ANLN	MYO18A
MYO18A	ANLN
SH3BGRL3	CATSPER4
CATSPER4	SH3BGRL3
BYSL	NXT1
NXT1	BYSL
MYL12B	MYO18A
MYO18A	MYL12B
SART3	PABPC1
PABPC1	SART3
CEBPA	MSX2
MSX2	CEBPA
A2M	PDGFB
ZC3H6	IL1RN
IL1RN	ZC3H6
CBY1	BAIAP2L2
BAIAP2L2	CBY1
RUVBL1	SHQ1
SHQ1	RUVBL1
SNX17	NPDC1
NPDC1	SNX17
PRKACA	CCND1
EZR	SLC9A3R2
TFF1	PTRF
PTRF	TFF1
ANKRD33B	MARCH6
MARCH6	ANKRD33B
MET	PRKCZ
PRKCZ	MET
GNA13	PRKCD
TCEB3	FCHO1
FCHO1	TCEB3
DYNLL1	PKIG
PKIG	DYNLL1
CPT1A	TCIRG1
TCIRG1	CPT1A
IL1B	A2M
IL1RAP	SMAD2
SMAD2	IL1RAP
ROBO2	PPP1R1B
SRP14	SRPK1
SRPK1	SRP14
FLYWCH1	SETDB1
CTD-2503O16.4	HMGCR
RP11-173M1.5	WSB1
WSB1	RP11-173M1.5
SMAD2	ALDH4A1
ALDH4A1	SMAD2
MALAT1	BMPER
SRC	MED21
MED21	SRC
CUBN	PID1
PID1	CUBN
PARP1	ERCC6
FASLG	SH3PXD2A
SH3PXD2A	FASLG
HSF2BP	RALY
RALY	HSF2BP
EGFR	HSPA5
HSPA5	EGFR
PPP1CC	TPM3
TPM3	PPP1CC
PARD3B	ICOS
ICOS	PARD3B
PMF1	SPC24
SPC24	PMF1
DYNLL1	DYNLRB1
DYNLRB1	DYNLL1
ALDH3A2	GRHPR
GRHPR	ALDH3A2
NHP2L1	RPL23
RPL23	NHP2L1
MYO1C	MYL6B
MYL6B	MYO1C
ZCCHC6	IQGAP3
IQGAP3	ZCCHC6
MAP3K7	MALT1
MALT1	MAP3K7
TBCA	IKBKE
IKBKE	TBCA
SKP1	SIAH1
BCL2	BCL2L14
BCL2L14	BCL2
C6orf106	NUDT3
NUDT3	C6orf106
RP1-261G23.5	MRPS18A
RP11-65N13.8	HSPA5
TRA2B	SART1
SART1	TRA2B
OPRM1	SLC5A3
SLC5A3	OPRM1
TSSC1	TMEM167A
TMEM167A	TSSC1
HDAC2	MBD3
MBD3	HDAC2
TNFRSF10A	FBXO11
FBXO11	TNFRSF10A
DLX4	RPL11
RPL11	DLX4
PTGES3	NR3C2
RGS2	NINL
NINL	RGS2
CHUK	FOXO3
TRIM11	KANK4
KANK4	TRIM11
ANAPC5	C16orf87
C16orf87	ANAPC5
FGF1	TGFBR3
TGFBR3	FGF1
STAT1	IRF2
STAT5B	NR3C1
NFKB1	SPTBN1
SKP1	SMAD3
DBN1	MYO6
MYO6	DBN1
KRAS	FBXW7
FBXW7	KRAS
CD44	PRKCZ
PRKCZ	CD44
TEX264	ACTBL2
ACTBL2	TEX264
PTP4A3	XPO7
XPO7	PTP4A3
TRIP11	GDF15
GDF15	TRIP11
CTB-35F21.1	UBE2D2
COL3A1	PCOLCE
GNAI3	EPS8L3
EPS8L3	GNAI3
FA2H	WDR59
WDR59	FA2H
TFAP2A	HTT
PHB	RPS7
RPS7	PHB
SYK	MAPK3
CNTN1	MCAM
MCAM	CNTN1
PTPN1	PARD6B
PARD6B	PTPN1
CADM4	PHLDB3
PSMD3	RUVBL1
RUVBL1	PSMD3
ZNF16	PPAN
PPAN	ZNF16
RAB5C	DSTYK
DSTYK	RAB5C
SART1	CTSW
RP11-99E15.2	RP11-187O7.3
RP11-187O7.3	RP11-99E15.2
MAGI3	TGFA
SYK	PXN
KRAS	ATP6V1G1
ATP6V1G1	KRAS
HMGN1	PRKCZ
PRKCZ	HMGN1
LATS1	PPP1R14C
PPP1R14C	LATS1
SLC9A3R2	SLC34A1
UBE4B	PGD
KRAS	C16orf72
C16orf72	KRAS
SRPK1	MAPK13
MAPK13	SRPK1
CHUK	CDC37
PRKACA	YWHAZ
ARFRP1	SMAD4
RTN4	ACYP2
ACYP2	RTN4
CDKN2B-AS1	CDKN2A
C14orf39	DHRS7
DHRS7	C14orf39
B4GALT2	B3GNT2
CSK	ID3
ID3	CSK
NDUFA4	UQCRFS1
UQCRFS1	NDUFA4
HDAC3	TRIM33
TRIM33	HDAC3
CRKL	PI4KA
SEC24A	SLC39A9
SLC39A9	SEC24A
HSPA5	TRAF6
TRAF6	HSPA5
ACTB	LIMA1
LIMA1	ACTB
PRKCB	TAGLN
TAGLN	PRKCB
SNCG	BUB1B
RPS29	DUSP26
DUSP26	RPS29
LINC00261	VIM
BAK1	ACTR2
ACTR2	BAK1
RP11-392P7.6	EMP1
ITGB2	FAM207A
GMDS	SMAD3
SMAD3	GMDS
IQGAP1	CGN
CGN	IQGAP1
EDN1	HIVEP1
HIVEP1	EDN1
ADAR	RP11-201K10.3
RP11-201K10.3	ADAR
RIN2	RAB5C
CDK8	PCF11
PCF11	CDK8
IL15RA	IL2RB
HSP90AB1	MOGS
MOGS	HSP90AB1
BAIAP2L2	TMEM184B
CDCA7L	ZNF250
ZNF250	CDCA7L
YWHAE	ZC3H7A
ZC3H7A	YWHAE
PIAS2	CHMP4B
CHMP4B	PIAS2
PPM1A	QARS
QARS	PPM1A
MSX1	STX18
GNAI1	KLHL3
CFTR	SPTLC1
SPTLC1	CFTR
BRE	RBKS
RBKS	BRE
PTN	PPP2CA
NFKBIZ	NXPE3
RPS7	ZNF326
ZNF326	RPS7
PJA2	DYNC1LI1
DYNC1LI1	PJA2
KANK2	THSD4
THSD4	KANK2
SNX6	FAM177A1
FAM177A1	SNX6
ARNT	RB1
CDH13	AGPAT5
AGPAT5	CDH13
ZNF250	ZNF251
ZNF251	ZNF250
GOLGA2	SFI1
SFI1	GOLGA2
FBXO28	LRRCC1
LRRCC1	FBXO28
IKBKE	EIF3M
EIF3M	IKBKE
LIMA1	RPSAP58
RPSAP58	LIMA1
DOK2	NPM2
ANXA2	ARRB1
ARRB1	ANXA2
RP11-739N10.1	CHST9
GOLGB1	DYNLL1
DYNLL1	GOLGB1
MYH9	CYBRD1
CYBRD1	MYH9
ADRBK2	OPRL1
OPRL1	ADRBK2
ST6GAL1	GLMN
GLMN	ST6GAL1
ANPEP	ZNF710
ZNF710	ANPEP
CASC5	MIS12
MIS12	CASC5
NR2F1	BCL11B
KCNH3	FMNL3
FMNL3	KCNH3
HSPA5	IL12RB1
IL12RB1	HSPA5
PRKCZ	APLP2
HCK	IRF2BPL
IRF2BPL	HCK
SLAMF1	TUBA4A
TUBA4A	SLAMF1
CKAP4	CHMP4B
CHMP4B	CKAP4
KRAS	EIF2S2
EIF2S2	KRAS
DNAJA1	OSBPL9
OSBPL9	DNAJA1
CALD1	NEFM
NEFM	CALD1
CASP10	TNFRSF10B
TNFRSF10B	CASP10
GSK3B	KIF5B
NCOA6	RORC
TAF4	TAF13
TAF13	TAF4
ME2	DYNLL1
DYNLL1	ME2
PTPRN	GLB1L
PCDH1	TRIB1
TRIB1	PCDH1
TLR2	RIPK2
UBR4	WIZ
WIZ	UBR4
TRAF2	TSHZ3
TSHZ3	TRAF2
RPL24	RPL29
RPL29	RPL24
DMAP1	C1orf228
C1orf228	DMAP1
TRAPPC12	TRAPPC6B
TRAPPC6B	TRAPPC12
ATXN1	SUGP2
SUGP2	ATXN1
ARHGEF19	SPATA21
SPATA21	ARHGEF19
ATP2B4	FPR2
FPR2	ATP2B4
RP11-486A14.2	UBE2N
SNAP23	KIF5B
PPP1CC	CASC5
CASC5	PPP1CC
ATN1	EFEMP2
NXPH4	LRP1
LRP1	NXPH4
CUL1	MKNK1
MKNK1	CUL1
PITRM1	XRN2
XRN2	PITRM1
ARRB1	EDNRA
EDNRA	ARRB1
FBXL6	PLEC
PLEC	FBXL6
EEF1A1	RNF10
RPL24	SYNE1
SYNE1	RPL24
EXOC5	RAB14
RAB14	EXOC5
SCN9A	SCN1A
SCN1A	SCN9A
MYO5B	SMAD3
COPA	USP49
USP49	COPA
CORO7	SRL
SRL	CORO7
PNRC1	RORA
PLK2	ANKRD44
ANKRD44	PLK2
MUS81	IDH2
IDH2	MUS81
BTRC	TUBGCP6
TUBGCP6	BTRC
DRD2	NDFIP1
NDFIP1	DRD2
RP11-392P7.6	GPRC5A
ADAM15	SNX33
SNX33	ADAM15
MCRS1	GPR156
GPR156	MCRS1
KLHL21	KLHL29
KLHL29	KLHL21
IKBKE	MRPS14
MRPS14	IKBKE
PRDM1	KDM1A
TECPR2	ANTXR1
ANTXR1	TECPR2
GRB10	COBL
COBL	GRB10
SMARCE1	NUP153
NUP153	SMARCE1
GRB2	NR1H2
NR1H2	GRB2
UBAC2	LMO7
GUCY1B3	PDE2A
RP11-126O1.2	ALPK2
DNAJA1	HERC2
HERC2	DNAJA1
PFKFB3	MAPKAPK2
MAPKAPK2	PFKFB3
SPEN	CWC22
CWC22	SPEN
OSBPL3	STK31
STK31	OSBPL3
MAP3K5	IL22RA2
IL22RA2	MAP3K5
CAPRIN1	AKAP10
HMOX1	CDK15
CDK15	HMOX1
PDIA4	HYOU1
HYOU1	PDIA4
ARF1	RAB1B
RAB1B	ARF1
PSMA6	ADRM1
ADRM1	PSMA6
NKD1	NOD2
NOD2	NKD1
NCAPH2	C11orf30
C11orf30	NCAPH2
KRAS	CORO1C
CORO1C	KRAS
CPS1	TUBG1
TUBG1	CPS1
PRPF3	RBM39
RBM39	PRPF3
FMNL1	ARHGAP27
ARHGAP27	FMNL1
ICOSLG	ICOS
ITGA6	PCDHGA5
PCDHGA5	ITGA6
ZNF76	LHX3
LHX3	ZNF76
CREBBP	THRA
THRA	CREBBP
SNRNP35	RILPL2
BLM	GSK3B
GSK3B	BLM
ERBB3	RIN1
RIN1	ERBB3
AP2S1	EPS15
EPS15	AP2S1
ECT2	NEIL3
NEIL3	ECT2
NCOA3	TFF1
SATB1	KAT2B
KAT2B	SATB1
PLA1A	ADPRH
NHP2L1	SCYL2
SCYL2	NHP2L1
TNFRSF8	DPY19L1
DPY19L1	TNFRSF8
PRKCA	ITPKB
CCNT2	AFF4
AFF4	CCNT2
RET	CBL
RAB5C	SUN2
SUN2	RAB5C
KAT5	ZNF513
ZNF513	KAT5
LRP8	ARHGAP39
ARHGAP39	LRP8
ITPR2	RAC1
RAC1	ITPR2
GABRA1	GABRG2
GABRG2	GABRA1
IL7R	LYN
HAGH	ALDH4A1
ALDH4A1	HAGH
MYO1C	RBM17
RBM17	MYO1C
ZNF335	PCIF1
PCIF1	ZNF335
FKBP5	USP49
USP49	FKBP5
GRM2	NAALADL2
NAALADL2	GRM2
RCN1	SPECC1L
SPECC1L	RCN1
RP11-244F12.3	TPM1
TRAF1	MAPRE2
MAPRE2	TRAF1
PIAS1	RPL23
RPL23	PIAS1
STAT3	MAPK8
TNIK	SETD4
SETD4	TNIK
THRB	NCOR1
NCOR1	THRB
ELK4	MUS81
JUP	CHMP4B
CHMP4B	JUP
CRK	SPEN
SPEN	CRK
TTI1	TTI2
TTI2	TTI1
IRGC	METTL7B
METTL7B	IRGC
APOBR	SULT1A2
THOC5	SF3B4
SF3B4	THOC5
APOA1	TNS3
TNS3	APOA1
RP3-454B23.1	VWF
UST	IMPAD1
CSTF1	FAM210B
FAM210B	CSTF1
RAB5A	MKNK1
MKNK1	RAB5A
TNFRSF11A	SRC
SOS1	KRAS
PPP1R3C	TXNRD2
TXNRD2	PPP1R3C
AMPD2	GPBP1L1
GPBP1L1	AMPD2
SMARCC1	SPATA12
SPATA12	SMARCC1
EPHA2	PKLR
PKLR	EPHA2
ARHGAP29	ABCA4
ABCA4	ARHGAP29
ATP5D	AUH
AUH	ATP5D
PLTP	EPB41L5
EPB41L5	PLTP
KRAS	USP4
USP4	KRAS
HNF1A	EP300
PLK1	CLSPN
CLSPN	PLK1
FBXW7	SPTBN1
SPTBN1	FBXW7
RC3H1	RABGAP1L
GHR	GRB2
ATP8B2	KCNN3
KCNN3	ATP8B2
ENTPD6	ATXN1
CSK	EFCAB7
EFCAB7	CSK
HTT	MSANTD1
MSANTD1	HTT
snoU13	HK2
FADS3	C19orf26
C19orf26	FADS3
UBR5	PRSS37
PRSS37	UBR5
EEF1D	RNGTT
RNGTT	EEF1D
SNORA26	SNORA51
SNORA51	SNORA26
ARF1	MTF2
MTF2	ARF1
LYN	CBLB
CAMTA2	SLC52A1
FBXW11	TSC22D4
TSC22D4	FBXW11
YWHAQ	PAK6
PAK6	YWHAQ
HEMK1	HYAL2
HYAL2	HEMK1
GOLGA3	ACBD3
ACBD3	GOLGA3
RHOA	RAC1
RAC1	RHOA
ACACA	DDX52
DDX52	ACACA
EGFR	KCNN1
KCNN1	EGFR
GPX4	HSD17B4
HSD17B4	GPX4
CDK5R1	LMTK2
LMTK2	CDK5R1
RAC1	EPS15L1
EPS15L1	RAC1
KIF3A	MAP1LC3B2
MAP1LC3B2	KIF3A
B3GNT1	B4GALT7
B4GALT7	B3GNT1
SNTB2	COG6
COG6	SNTB2
DDX5	MAP3K7
MAP3K7	DDX5
TYK2	KHDRBS3
KHDRBS3	TYK2
SYT2	KDM5B
MAPK12	SH3BP5
SH3BP5	MAPK12
AFAP1-AS1	PLAUR
ADRB1	NHLRC2
NHLRC2	ADRB1
JAK2	PPP2R1B
CALCOCO2	FAM161A
FAM161A	CALCOCO2
ANAPC1	KIAA1683
KIAA1683	ANAPC1
PPARD	NCOR1
RRM1	LRIF1
LRIF1	RRM1
SDCBP	PYCRL
PYCRL	SDCBP
FXR1	MAGOHB
MAGOHB	FXR1
LSM4	PGPEP1
GADD45G	RXRA
TRAF1	APIP
APIP	TRAF1
JUND	FOSL1
FOSL1	JUND
GC	DDX31
DDX31	GC
GATA6	KLF13
VPRBP	DCLRE1B
DCLRE1B	VPRBP
EEF1A1	C18orf32
C18orf32	EEF1A1
MIB1	CCDC61
CCDC61	MIB1
CREBBP	HNF1A
HNF1A	CREBBP
PARD3	CUL2
CUL2	PARD3
TRAF5	FBXO28
FBXO28	TRAF5
ROCK1	DOCK6
DOCK6	ROCK1
KIF5A	KLC2
KLC2	KIF5A
CLK1	SRSF6
SRSF6	CLK1
LIN9	PARP1
PARP1	LIN9
KAZALD1	BTRC
BTRC	KAZALD1
NVL	PLEKHO1
PLEKHO1	NVL
SLC25A3	RPL37A
RPL37A	SLC25A3
PPM1G	SRRT
SRRT	PPM1G
AKT1	SLC9A1
SLC9A1	AKT1
ZNF728	ZNF254
ZNF254	ZNF728
STUB1	NHSL1
NHSL1	STUB1
DDX5	SYF2
SYF2	DDX5
MLANA	MITF
MITF	MLANA
RPL3	SGK1
SGK1	RPL3
CDKN2B-AS1	ELP6
PRKAR2A	PIBF1
PIBF1	PRKAR2A
SEZ6L2	ALDOA
ALDOA	SEZ6L2
TNFRSF8	FHL2
FHL2	TNFRSF8
ABL1	LYN
LYN	ABL1
CD44	APIP
ERCC4	GTF2H1
GTF2H1	ERCC4
CDKN2A	HSPA4
HSPA4	CDKN2A
TPD52L2	YWHAG
YWHAG	TPD52L2
PSMA6	HERC3
HERC3	PSMA6
KAT2B	TTF1
YWHAZ	NOLC1
NOLC1	YWHAZ
KDM1A	SIN3B
SIN3B	KDM1A
SKP1	IKBKE
IKBKE	SKP1
BRPF3	ING5
ING5	BRPF3
SMARCC2	DRAP1
DRAP1	SMARCC2
CTD-2017D11.1	ZNF492
BCAR1	VPS11
FOXF2	SDF4
SDF4	FOXF2
WASF1	HSF2BP
HSF2BP	WASF1
KCNJ4	PLA2G6
PLA2G6	KCNJ4
ABL1	LRBA
LRBA	ABL1
GRB2	CELF2
CELF2	GRB2
PXMP2	SLC22A16
SLC22A16	PXMP2
CAP1	ACTBL2
ACTBL2	CAP1
TNFRSF8	KIF3A
KIF3A	TNFRSF8
KRT3	TRAF1
TRAF1	KRT3
AKT1	DOCK6
DOCK6	AKT1
INPP5D	NGEF
NGEF	INPP5D
LOXL2	EGFL7
EGFL7	LOXL2
ABI2	NCKIPSD
NCKIPSD	ABI2
DLG2	GRIN1
RP11-493K19.3	GNAI2
WASF3	CCDC53
CCDC53	WASF3
NDUFB5	NCSTN
NCSTN	NDUFB5
GABRB1	PRKACA
PRKACA	GABRB1
SST	SSTR3
GRB2	PTPN12
MCRS1	TRIM44
TRIM44	MCRS1
PLEC	C6orf141
C6orf141	PLEC
UBE2N	AURKA
CDKN2B-AS1	NOVA1
CBL	OSTF1
RBM39	IGF2BP3
IGF2BP3	RBM39
NEK4	SKAP1
SKAP1	NEK4
SNX9	TNK2
CRLF1	SSBP4
SSBP4	CRLF1
FBXW7	EBF3
EBF3	FBXW7
RP11-554D15.3	CD109
PROP1	L3MBTL2
L3MBTL2	PROP1
CXXC4	DVL1
NCSTN	STT3B
STT3B	NCSTN
PTP4A3	RAB3GAP1
RAB3GAP1	PTP4A3
WDR5	SESN2
SESN2	WDR5
SLC4A3	TRAF2
TRAF2	SLC4A3
PGAM5	SETDB1
EPRS	AIMP1
AIMP1	EPRS
CDKN2B-AS1	SLC22A4
ACTL6A	INO80C
INO80C	ACTL6A
MYO1C	MPRIP
MPRIP	MYO1C
TRIM24	CREB3L2
CREB3L2	TRIM24
CCSER1	GPRIN3
GPRIN3	CCSER1
AQP1	PPCDC
PPCDC	AQP1
GNB1	KCNJ3
CALML3	TNFRSF19
TNFRSF19	CALML3
ACTR2	TNIK
TNIK	ACTR2
CPSF1	GLIS2
GLIS2	CPSF1
GML	CNTNAP3
CNTNAP3	GML
ATR	PRKACA
PRKACA	ATR
ARMC7	TRIM42
TRIM42	ARMC7
TMEM259	R3HDM4
R3HDM4	TMEM259
BRMS1L	LACC1
LACC1	BRMS1L
KAT5	UCKL1
UCKL1	KAT5
MYB	RQCD1
RQCD1	MYB
NRG2	ERBB4
SMARCC1	PBRM1
APAF1	NLRP1
MED21	CDK19
CDK19	MED21
RP11-13G14.4	FICD
CBX5	ZNF562
ZNF562	CBX5
PDCD5	LRIF1
LRIF1	PDCD5
MVB12A	CTD-2521M24.10
CTD-2521M24.10	MVB12A
UBE2D3	UHRF2
UHRF2	UBE2D3
GOLGA2	USP15
USP15	GOLGA2
SMARCC1	MCPH1
MCPH1	SMARCC1
CTD-2410N18.4	CDKL3
FENDRR	IRF8
PDCD1	PTPN11
PTPN11	PDCD1
CTRB1	TMEM170A
CORO1C	CYBRD1
CYBRD1	CORO1C
CALD1	C7orf49
TBX19	C16orf11
C16orf11	TBX19
WDR81	DPH1
DPH1	WDR81
ZKSCAN1	RFPL4B
RFPL4B	ZKSCAN1
TUFT1	KAT5
KAT5	TUFT1
MAPK14	MAPKAPK2
MAPKAPK2	MAPK14
ZNF638	DYSF
DYSF	ZNF638
UBE2D3	TRIM8
TRIM8	UBE2D3
ADAM19	ABI2
ABI2	ADAM19
ASH1L	RAB25
RAB25	ASH1L
NDC80	CNTLN
CNTLN	NDC80
MCRS1	BEND3
BEND3	MCRS1
UNC13B	RIMS1
TCEA2	ADAMTSL4
ADAMTSL4	TCEA2
DNMT3B	EZH2
EZH2	DNMT3B
SS18	NOP58
NOP58	SS18
RP5-1073O3.2	BCL2L15
CREBBP	KLF13
KLF13	CREBBP
FTH1	SREBF2
SREBF2	FTH1
FLOT2	GNAS
GNAS	FLOT2
NHP2L1	IGF2BP1
IGF2BP1	NHP2L1
CHGA	ITPK1
ITPK1	CHGA
GS1-122H1.2	GLUL
NCK2	BCL11A
BCL11A	NCK2
DDX5	RBM15
RBM15	DDX5
STK11	TBC1D23
TBC1D23	STK11
CASP3	PTMA
SKP1	FBXL7
FBXL7	SKP1
DPYSL5	MAPRE3
ACTA2	PHACTR2
PHACTR2	ACTA2
GPX1	HSD17B4
HSD17B4	GPX1
PTK2	LATS1
LATS1	PTK2
PRKCA	PIP5K1A
PIP5K1A	PRKCA
BMPR1A	ERMP1
ERMP1	BMPR1A
NKD1	SNX20
SNX20	NKD1
ADRBK1	PRKACA
YWHAQ	SH3BP4
SH3BP4	YWHAQ
RALGAPA1	PPP2R3C
PPP2R3C	RALGAPA1
CTD-2555C10.3	CDC42BPB
MARK1	YWHAZ
YWHAZ	MARK1
PAK7	ZNF598
ZNF598	PAK7
KHDRBS3	TSGA10IP
TSGA10IP	KHDRBS3
WIPF2	GSDMA
GSDMA	WIPF2
GSK3B	SHARPIN
SHARPIN	GSK3B
AC010646.3	HAUS8
HAUS8	AC010646.3
CSK	TRAF5
TRAF5	CSK
ACTL6A	MED4
MED4	ACTL6A
CLVS2	SMPDL3A
SMPDL3A	CLVS2
TAX1BP1	PIBF1
PIBF1	TAX1BP1
RPS8	NAE1
NAE1	RPS8
RELA	EP300
EP300	RELA
DPYD	UPP2
UPP2	DPYD
MERTK	ZC3H6
BCL6	NCOR2
NCOR2	BCL6
ZMYM1	SMIM12
SMIM12	ZMYM1
GSK3B	FBXO4
FBXO4	GSK3B
A2M	LOXL1
LOXL1	A2M
FADS2	FTH1
FTH1	FADS2
RP3-449O17.1	TMEM184B
TMEM184B	RP3-449O17.1
EGFR	TLR4
TLR4	EGFR
PPP1CA	SF3B4
SF3B4	PPP1CA
HOMER3	KDM1A
KDM1A	HOMER3
PRKCD	PAK1
BDH1	SLC18A1
SLC18A1	BDH1
SLC35A1	RNGTT
RNGTT	SLC35A1
RPS7	PRPF3
PRPF3	RPS7
TTC28	PCDHGB1
PCDHGB1	TTC28
DLX6-AS1	REL
GLI1	GCC1
GCC1	GLI1
GOLGB1	MAP2K5
MAP2K5	GOLGB1
NAB2	NEDD9
NEDD9	NAB2
ATF7IP2	TVP23A
TVP23A	ATF7IP2
TRIM11	OBSCN
AQP1	BEGAIN
BEGAIN	AQP1
CDKN2B-AS1	ULK2
SCN7A	SCN1A
SCN1A	SCN7A
RP11-242F24.1	CAMTA1
CDKN1C	CCND1
HSPA4	REL
REL	HSPA4
FOXF2	LRP1
MAPK3	INO80E
CPS1	RUVBL1
RUVBL1	CPS1
RPL11	SF3B2
SF3B2	RPL11
PDXK	IKBKE
IKBKE	PDXK
TP63	N4BP2
N4BP2	TP63
VIM	KANK2
KANK2	VIM
SNX9	FCHSD1
FCHSD1	SNX9
FHL3	A1CF
A1CF	FHL3
LRP5	ST8SIA4
ST8SIA4	LRP5
JUP	LGALS9
LGALS9	JUP
ARRB1	ITCH
ITCH	ARRB1
MYO19	ANTXR1
ANTXR1	MYO19
NAGLU	OSBPL5
OSBPL5	NAGLU
SNRPE	PRPF6
PRPF6	SNRPE
VDAC1	NUDC
NUDC	VDAC1
PDGFB	PPAN-P2RY11
PPAN-P2RY11	PDGFB
KIF1B	INADL
SERPINB5	SNX3
SNX3	SERPINB5
